0.000	57.0
0.005	55.0
0.010	55.0
0.015	57.0
0.020	55.0
0.025	57.0
0.030	57.0
0.035	55.0
0.040	57.0
0.045	53.0
0.050	58.0
0.055	58.0
0.060	57.0
0.073	54.0
0.073	55.0
0.077	59.0
0.080	58.0
0.087	57.0
0.092	58.0
0.095	55.0
0.100	55.0
0.105	55.0
0.110	53.0
0.115	54.0
0.120	55.0
0.125	58.0
0.130	58.0
0.135	59.0
0.140	57.0
0.145	58.0
0.150	58.0
0.155	62.0
0.160	57.0
0.165	55.0
0.170	57.0
0.175	55.0
0.180	55.0
0.185	58.0
0.190	50.0
0.195	55.0
0.204	58.0
0.208	55.0
0.210	55.0
0.215	58.0
0.220	58.0
0.225	55.0
0.230	57.0
0.235	57.0
0.240	57.0
0.245	57.0
0.250	57.0
0.255	58.0
0.260	57.0
0.265	53.0
0.270	56.0
0.276	55.0
0.280	57.0
0.285	57.0
0.291	58.0
0.295	55.0
0.300	55.0
0.305	55.0
0.310	55.0
0.315	55.0
0.320	55.0
0.325	56.0
0.330	58.0
0.342	57.0
0.342	53.0
0.346	58.0
0.352	56.0
0.358	55.0
0.361	58.0
0.365	56.0
0.370	57.0
0.375	59.0
0.380	57.0
0.385	57.0
0.390	57.0
0.396	51.0
0.400	55.0
0.405	57.0
0.410	54.0
0.415	58.0
0.420	58.0
0.425	58.0
0.430	59.0
0.435	55.0
0.440	55.0
0.445	55.0
0.450	58.0
0.455	55.0
0.460	58.0
0.465	54.0
0.470	57.0
0.482	59.0
0.482	54.0
0.485	55.0
0.491	57.0
0.495	58.0
0.500	53.0
0.505	55.0
0.510	57.0
0.515	59.0
0.520	55.0
0.525	56.0
0.530	59.0
0.535	57.0
0.540	60.0
0.545	54.0
0.550	60.0
0.555	57.0
0.560	58.0
0.565	54.0
0.570	54.0
0.575	57.0
0.580	55.0
0.585	55.0
0.590	54.0
0.595	57.0
0.601	57.0
0.605	57.0
0.617	57.0
0.617	54.0
0.620	54.0
0.626	55.0
0.630	58.0
0.636	57.0
0.640	57.0
0.645	58.0
0.650	57.0
0.655	57.0
0.660	55.0
0.665	58.0
0.670	55.0
0.675	54.0
0.680	59.0
0.686	58.0
0.690	61.0
0.695	54.0
0.700	57.0
0.705	55.0
0.710	55.0
0.715	55.0
0.720	58.0
0.725	55.0
0.730	54.0
0.735	56.0
0.740	55.0
0.745	59.0
0.750	54.0
0.764	54.0
0.765	54.0
0.765	54.0
0.774	55.0
0.778	59.0
0.780	57.0
0.785	59.0
0.790	55.0
0.795	56.0
0.800	57.0
0.805	48.0
0.810	54.0
0.815	58.0
0.820	56.0
0.825	54.0
0.830	53.0
0.835	53.0
0.840	57.0
0.845	55.0
0.850	59.0
0.855	57.0
0.860	54.0
0.865	58.0
0.870	54.0
0.875	51.0
0.880	57.0
0.885	59.0
0.891	59.0
0.907	59.0
0.907	54.0
0.907	57.0
0.911	58.0
0.920	57.0
0.920	57.0
0.929	57.0
0.930	55.0
0.935	58.0
0.940	54.0
0.945	55.0
0.950	56.0
0.955	57.0
0.960	54.0
0.965	55.0
0.970	56.0
0.975	58.0
0.980	57.0
0.985	58.0
0.990	56.0
0.995	55.0
1.000	55.0
1.005	55.0
1.010	61.0
1.015	58.0
1.020	58.0
1.025	53.0
1.030	57.0
1.035	55.0
1.040	54.0
1.045	57.0
1.057	60.0
1.057	55.0
1.060	57.0
1.066	55.0
1.070	54.0
1.078	55.0
1.082	54.0
1.085	57.0
1.090	55.0
1.096	57.0
1.100	53.0
1.105	54.0
1.110	58.0
1.115	55.0
1.120	57.0
1.125	55.0
1.130	57.0
1.135	61.0
1.140	59.0
1.145	58.0
1.150	58.0
1.155	55.0
1.160	53.0
1.165	54.0
1.170	55.0
1.175	57.0
1.180	55.0
1.185	53.0
1.202	54.0
1.202	54.0
1.202	57.0
1.205	57.0
1.212	53.0
